Company,Family,Variant,Generation,Aircraft_Build_Type,Launch_Year,Entry_Into_Service_Year,Production_Status,Number_of_Engines,Typical_Seat_Config,Seats,MTOW_t,Empty_Weight_t,Max_Fuel_Capacity_t,Max_Fuel_Capacity_L,Range_nm,Range_km,Max_Flight_Altitude_ft,Fuel_kg_h,Fuel_L_h,Fuel_kg_seat_h,Fuel_L_seat_h,Orders,Deliveries,Backlog,Delivery_pct,List_Price_USD_M,List_Price_Reference_Year,Technical_Data_Source,Commercial_Data_Source,Notes,,,,,
Boeing,757,757-200,Previous-generation narrowbody twin,Narrow Body,1978,1983,Ceased,2,2-class,186,115.7,58.4,,,3845,7120,42000,3300,4125,17.74,22.18,1050,1050,0,100,, ,Boeing 757-200 specifications,Historical Boeing industry data,"Classic long-range narrowbody; Boeing historical performance data gives up to 3,845 nm range in maximum-range configuration",,,,,
Boeing,757,757-300,Previous-generation narrowbody twin,Narrow Body,1996,1999,Ceased,2,2-class,234,123.8,68.1,,,3400,6297,42000,3500,4375,14.96,18.7,55,55,0,100,, ,Boeing 757-300 specifications,Historical Boeing industry data,Stretched 757; higher capacity but shorter range than 757-200,,,,,
Boeing,737 MAX,737 MAX 8-200,New-generation narrowbody twin,Narrow Body,2016,2021,In Production,2,2-class,197,82.19,44.7,,,3250,6019,41000,2300,2875,11.68,14.59,350,220,130,62.86,120,2018,Boeing 737 MAX specifications,Historical Boeing list prices,High-density MAX 8 derivative; up to 197 seats; Ryanair-oriented high-capacity configuration,,,,,
Boeing,737 MAX,737 MAX 9,New-generation narrowbody twin,Narrow Body,2011,2018,In Production,2,2-class,178,88.31,44.7,,,3300,6112,41000,2400,3000,13.48,16.85,700,300,400,42.86,124.8,2018,Boeing 737 MAX specifications,Historical Boeing list prices,Longer MAX variant; typical two-class seating shown,,,,,
Boeing,737 MAX,737 MAX 10,New-generation narrowbody twin,Narrow Body,2017,2027,In Production,2,2-class,188,88.31,45,,,3300,6112,41000,2400,3000,12.77,15.97,1000,0,1000,0,134.9,2018,Boeing 737 MAX specifications,Historical Boeing list prices,Largest 737 MAX variant; up to 204 seats in high-density configuration; EIS subject to certification status,,,,,
Embraer,E-Jets,E170,Previous-generation regional twin,Regional Jet,1999,2004,Ceased,2,2-class,66,38.6,21.14,,,2150,3982,41000,1000,1240,14.29,17.71,191,191,0,100,41.2,2015,Embraer E170 performance/specifications; E-Jet technical data,Embraer Orders & Deliveries; Airfinance Global,Gen 1 E170; representative 70-seat configuration for fuel-per-seat calculation; list price is 2015 Avitas reference,,,,,
Embraer,E-Jets,E175,Previous-generation regional twin,Regional Jet,1999,2004,In Production,2,2-class,76,40.37,21.89,,,2200,4074,41000,1100,1364,14.47,17.95,1003,813,190,81.06,44.4,2015,Embraer E175 performance/specifications; E-Jet technical data,Embraer Orders & Deliveries; Airfinance Global,Gen 1 E175; 76-seat representative 2-class configuration for fuel-per-seat calculation; list price is 2015 Avitas reference,,,,,
Embraer,E-Jets,E190,Previous-generation regional twin,Regional Jet,1999,2004,Ceased,2,2-class,96,51.8,27.85,,,2450,4537,41000,1250,1550,12.76,15.82,568,568,0,100,49.1,2015,Embraer E190 performance/specifications; E-Jet technical data,Embraer Orders & Deliveries; Airfinance Global,Gen 1 E190; 98-seat representative airline configuration for fuel-per-seat calculation; list price is 2015 Avitas reference,,,,,
Embraer,E-Jets,E195,Previous-generation regional twin,Regional Jet,1999,2004,Ceased,2,2-class,100,52.29,28.67,,,2300,4260,41000,1350,1674,12.5,15.5,172,172,0,100,52,2015,Embraer E195 performance/specifications; E-Jet technical data,Embraer Orders & Deliveries; Airfinance Global,Gen 1 E195; 108-seat representative airline configuration for fuel-per-seat calculation; list price is 2015 Avitas reference,,,,,
Embraer,E-Jets,E175-E2,New-generation regional twin,Regional Jet,2015,2019,Paused Indefinitely,2,3-class,80,44.6,33,,,2000,3704,41000,1350,1687.5,16.88,21.09,0,0,0,0,46.8,2013,Embraer E175-E2 specifications,Historical Embraer E2 pricing,Manufacturer three-class configuration; E175-E2 has not entered commercial service and currently has no firm orders in Embraer's published order book; program development has been delayed; fuel-flow values are representative estimates,,,,2013,
Embraer,E-Jets,E190-E2,New-generation regional/narrowbody twin,Regional Jet,2015,2018,In Production,2,3-class,97,56.4,33.3,,,2850,5278,41000,1550,1937.5,15.98,19.97,68,38,30,55.88,53.6,2013,Embraer E190-E2 specifications,Historical Embraer E2 pricing,"Manufacturer three-class configuration; 2,850 nm full-pax range; current order/delivery figures based on Embraer order-book reporting; fuel-flow values are representative estimates",,,,2013,2018
Embraer,E-Jets,E195-E2,New-generation regional/narrowbody twin,Regional Jet,2015,2019,In Production,2,3-class,120,62.5,35.7,,,3000,5556,41000,1750,2187.5,14.58,18.23,464,175,289,37.72,60.4,2013,Embraer E195-E2 specifications,Historical Embraer E2 pricing,"Manufacturer three-class configuration; 3,000 nm full-pax range; current order/delivery figures based on Embraer order-book reporting; fuel-flow values are representative estimates",,,,2013,2019
ATR,ATR 42,ATR 42-300,Previous-generation twin,Regional Turboprop,1981,1985,Ceased,2,2-class,48,16.9,10.9,,,449,831,25000,568,710,11.83,14.79,420,420,0,100,, ,ATR 42-300 specifications,Historical industry data,Early ATR 42 passenger variant; standard 48-seat configuration; 449 nm max-pax range; historical orders/deliveries approximate,,,,1981,1985
ATR,ATR 42,ATR 42-500,Previous-generation twin,Regional Turboprop,1988,1989,Ceased,2,2-class,48,18.6,11.5,,,703,1302,25000,811,1013.75,16.9,21.12,230,230,0,100,, ,ATR 42-500 specifications,Historical industry data,Improved ATR 42 variant; standard 48-seat configuration; manufacturer brochure gives 703 nm max-pax range and 811 kg/h cruise fuel flow; historical orders/deliveries approximate,,,,1993,1995
ATR,ATR 42,ATR 42-600,New-generation turboprop twin,Regional Turboprop,2007,2010,In Production,2,2-class,48,18.6,11.7,,,726,1345,25000,811,1013.75,16.9,21.12,180,160,20,88.89,19.5,2018,ATR 42-600 specifications,Historical ATR list-price data,Current ATR passenger variant; 30-50 seats officially supported; 48-seat typical configuration selected; current published max-pax range 726 nm; orders/deliveries approximate as of 2026,,,,2007,2012
ATR,ATR 72,ATR 72-200,Previous-generation twin,Regional Turboprop,1985,1988,Ceased,2,2-class,66,22,13,,,862,1597,25000,720,900,10.91,13.64,187,187,0,100,, ,ATR 72-200 specifications,Historical industry data,Original ATR 72 passenger variant; standard 66-seat configuration; 862 nm max-pax range; ATR reports 187 ATR 72-200 deliveries,,,,1986,1989
ATR,ATR 72,ATR 72-500,Previous-generation twin,Regional Turboprop,1994,1996,Ceased,2,2-class,68,22.5,12.95,,,772,1431,25000,762,952.5,11.21,14.01,490,490,0,100,, ,ATR 72-500 specifications,Historical industry data,Improved ATR 72 passenger variant; 68-seat configuration; manufacturer brochure gives 772 nm max-pax range and 762 kg/h cruise fuel flow; historical orders/deliveries approximate,,,,1995,1997
ATR,ATR 72,ATR 72-600,New-generation turboprop twin,Regional Turboprop,2007,2011,In Production,2,2-class,72,23,13.6,,,740,1370,25000,650,812.5,9.03,11.28,850,700,150,82.35,26.8,2018,ATR 72-600 specifications,Historical ATR list-price data,Current ATR passenger variant; standard 72-seat configuration; current PW127XT-M configuration; 740 nm published max-pax range and 650 kg/h cruise fuel consumption; orders/deliveries approximate as of 2026; excludes ATR 72-600F freighter,,,,2007,2011
de Havilland Canada,DHC-8,DHC-8-100,Classic regional turboprop,Regional Turboprop,1983,1984,Ceased,2,1-class,37,16.466,10.483,,,1020,1889,25000,409,511,11.05,13.81,299,299,0,100,,,BAE Systems Heritage; Aircraft Commerce Dash 8 guide,Aircraft Commerce historical orders and deliveries,Fuel burn is a representative hourly conversion from Aircraft Commerce SOU-JER sector data using 0.80 kg/L Jet A density; 299 orders and deliveries are historical series totals,,,,1983,1984
de Havilland Canada,DHC-8,DHC-8-200,Classic regional turboprop,Regional Turboprop,1983,1984,Ceased,2,1-class,37,16.466,10.483,,,925,1713,25000,432,540,11.68,14.6,105,105,0,100,,,BAE Systems Heritage; Aircraft Commerce Dash 8 guide,Aircraft Commerce historical orders and deliveries,Fuel burn is a representative hourly conversion from Aircraft Commerce SOU-JER sector data using 0.80 kg/L Jet A density; 105 orders and deliveries are historical series totals,,,,1995,1995
de Havilland Canada,DHC-8,DHC-8-300,Classic regional turboprop,Regional Turboprop,1987,1989,Ceased,2,1-class,50,19.505,11.791,,,841,1558,25000,460,574,9.19,11.49,267,267,0,100,,,BAE Systems Heritage; Aircraft Commerce Dash 8 guide,Aircraft Commerce historical orders and deliveries,Fuel burn is a representative hourly conversion from Aircraft Commerce SOU-JER sector data using 0.80 kg/L Jet A density; 267 orders and deliveries are historical series totals,,,,1989,1989
de Havilland Canada,DHC-8,DHC-8-400,New-generation regional turboprop,Regional Turboprop,1995,1999,"Halted, Restart Planned",2,1-class,78,29.574,17.819,,,1362,2522,25000,667,834,8.55,10.69,645,587,58,90.99,,,BAE Systems Heritage; Aircraft Commerce Dash 8 guide,Aircraft Commerce historical orders and deliveries,Q400; fuel burn is a representative hourly conversion from Aircraft Commerce SOU-JER sector data using 0.80 kg/L Jet A density; orders/deliveries are the historical 2019 snapshot,,,,1999,2000
COMAC,C909,C909 STD,New-generation regional twin,Regional Jet,2008,2016,In Production,2,1-class,90,40.5,24.955,,,1200,2222,39000,2400,3000,26.67,33.33,379,182,197,48.02,,,COMAC C909 specifications,COMAC C909 orders and deliveries,C909 STD; formerly ARJ21-700 STD; 90-seat full-economy configuration; representative fuel-flow estimate; orders/deliveries based on C909 program totals through 2026,,,,2008,2016
COMAC,C909,C909 ER,New-generation regional twin,Regional Jet,2008,2016,In Production,2,1-class,90,43.5,24.9,,,2000,3704,39000,2400,3000,26.67,33.33,379,182,197,48.02,,,COMAC C909 specifications,COMAC C909 orders and deliveries,C909 ER; formerly ARJ21-700 ER; 90-seat full-economy configuration; representative fuel-flow estimate; orders/deliveries based on C909 program totals through 2026,,,,2008,2016
COMAC,C919,C919-100 STD,New-generation narrowbody twin,Regional Jet,2008,2023,In Production,2,2-class,158,72.5,37,,,2200,4074,39000,,,,,,,,,,,,,,,,,,
COMAC,C919,C919-100 ER,New-generation narrowbody twin,Narrow Body,2008,2023,In Production,2,2-class,158,77.3,37,,,3000,5556,39000,,,,,,,,,,,,,,,,,,
